Ablation,Province,Variant,F2,ΔF2,AUC_ROC,ΔAUC_ROC,PR_AUC,ΔPR_AUC,Recall,ΔRecall
Baseline,EasternSamar,Baseline (Full),0.9917,0.0,0.9935,0.0,0.9926,0.0,0.9951,0.0
Baseline,WesternSamar,Baseline (Full),0.9868,0.0,0.9903,0.0,0.9834,0.0,0.9884,0.0
Baseline,Leyte,Baseline (Full),0.9923,0.0,0.9965,0.0,0.993,0.0,0.9923,0.0
Baseline,Biliran,Baseline (Full),0.9769,0.0,0.9883,0.0,0.7981,0.0,0.9894,0.0
A1_7d,EasternSamar,A1: LSTM-7d only,0.9905,-0.0012,0.9941,0.0006,0.9911,-0.0015,0.9951,0.0
A1_7d,WesternSamar,A1: LSTM-7d only,0.9868,0.0,0.9866,-0.0037,0.9726,-0.0108,0.9884,0.0
A1_7d,Leyte,A1: LSTM-7d only,0.9923,0.0,0.9954,-0.0011,0.9879,-0.0051,0.9923,0.0
A1_7d,Biliran,A1: LSTM-7d only,0.9769,0.0,0.9932,0.0049,0.8236,0.0255,0.9894,0.0
A1_15d,EasternSamar,A1: LSTM-15d only,0.9912,-0.0005,0.9938,0.0003,0.9902,-0.0024,0.9951,0.0
A1_15d,WesternSamar,A1: LSTM-15d only,0.9868,0.0,0.9871,-0.0032,0.9731,-0.0103,0.9884,0.0
A1_15d,Leyte,A1: LSTM-15d only,0.9923,0.0,0.9962,-0.0003,0.9917,-0.0013,0.9923,0.0
A1_15d,Biliran,A1: LSTM-15d only,0.9769,0.0,0.9989,0.0106,0.9863,0.1882,0.9894,0.0
A1_30d,EasternSamar,A1: LSTM-30d only,0.991,-0.0007,0.9935,0.0,0.9921,-0.0005,0.9951,0.0
A1_30d,WesternSamar,A1: LSTM-30d only,0.9868,0.0,0.989,-0.0013,0.982,-0.0014,0.9884,0.0
A1_30d,Leyte,A1: LSTM-30d only,0.9923,0.0,0.9947,-0.0018,0.9885,-0.0045,0.9923,0.0
A1_30d,Biliran,A1: LSTM-30d only,0.9769,0.0,0.9864,-0.0019,0.831,0.0329,0.9894,0.0
A2_no_xgb,EasternSamar,A2: LSTM×3 only (no XGB),0.9854,-0.0063,0.9821,-0.0114,0.971,-0.0216,0.9878,-0.0073
A2_no_xgb,WesternSamar,A2: LSTM×3 only (no XGB),0.9628,-0.024,0.9766,-0.0137,0.9616,-0.0218,0.9701,-0.0183
A2_no_xgb,Leyte,A2: LSTM×3 only (no XGB),0.9579,-0.0344,0.9908,-0.0057,0.9779,-0.0151,0.9579,-0.0344
A2_no_xgb,Biliran,A2: LSTM×3 only (no XGB),0.9434,-0.0335,0.9905,0.0022,0.8917,0.0936,0.9574,-0.032
A3_solo,EasternSamar,A3: LSTM-7d solo,0.9823,-0.0094,0.9815,-0.012,0.9775,-0.0151,0.9902,-0.0049
A3_solo,EasternSamar,A3: LSTM-15d solo,0.9842,-0.0075,0.9822,-0.0113,0.9746,-0.018,0.9878,-0.0073
A3_solo,EasternSamar,A3: LSTM-30d solo,0.9073,-0.0844,0.8579,-0.1356,0.8738,-0.1188,0.9939,-0.0012
A3_solo,EasternSamar,A3: XGBoost solo,0.9905,-0.0012,0.9931,-0.0004,0.991,-0.0016,0.9951,0.0
A3_solo,WesternSamar,A3: LSTM-7d solo,0.9513,-0.0355,0.9679,-0.0224,0.9444,-0.039,0.9585,-0.0299
A3_solo,WesternSamar,A3: LSTM-15d solo,0.9432,-0.0436,0.9681,-0.0222,0.9581,-0.0253,0.9585,-0.0299
A3_solo,WesternSamar,A3: LSTM-30d solo,0.965,-0.0218,0.9777,-0.0126,0.9649,-0.0185,0.9685,-0.0199
A3_solo,WesternSamar,A3: XGBoost solo,0.9868,0.0,0.9865,-0.0038,0.9777,-0.0057,0.9884,0.0
A3_solo,Leyte,A3: LSTM-7d solo,0.9564,-0.0359,0.9851,-0.0114,0.9689,-0.0241,0.9579,-0.0344
A3_solo,Leyte,A3: LSTM-15d solo,0.9687,-0.0236,0.9934,-0.0031,0.9746,-0.0184,0.9732,-0.0191
A3_solo,Leyte,A3: LSTM-30d solo,0.9517,-0.0406,0.9912,-0.0053,0.9762,-0.0168,0.9502,-0.0421
A3_solo,Leyte,A3: XGBoost solo,0.9923,0.0,0.9957,-0.0008,0.9877,-0.0053,0.9923,0.0
A3_solo,Biliran,A3: LSTM-7d solo,0.8887,-0.0882,0.9567,-0.0316,0.7655,-0.0326,0.883,-0.1064
A3_solo,Biliran,A3: LSTM-15d solo,0.9023,-0.0746,0.9766,-0.0117,0.922,0.1239,0.9043,-0.0851
A3_solo,Biliran,A3: LSTM-30d solo,0.8779,-0.099,0.9787,-0.0096,0.9071,0.109,0.8723,-0.1171
A3_solo,Biliran,A3: XGBoost solo,0.9769,0.0,0.9973,0.009,0.9341,0.136,0.9894,0.0
