Ablation,Province,Variant,threshold,F2,AUC_ROC,PR_AUC,Recall,Precision,Accuracy
Baseline,EasternSamar,Baseline (Full),0.1703,0.9917,0.9935,0.9926,0.9951,0.9784,0.9848
Baseline,WesternSamar,Baseline (Full),0.8002,0.9868,0.9903,0.9834,0.9884,0.9803,0.9869
Baseline,Leyte,Baseline (Full),0.873,0.9923,0.9965,0.993,0.9923,0.9923,0.9972
Baseline,Biliran,Baseline (Full),0.5746,0.9769,0.9883,0.7981,0.9894,0.93,0.9945
A1_7d,EasternSamar,A1: LSTM-7d only,0.0887,0.9905,0.9941,0.9911,0.9951,0.9726,0.9813
A1_7d,WesternSamar,A1: LSTM-7d only,0.6923,0.9868,0.9866,0.9726,0.9884,0.9803,0.9869
A1_7d,Leyte,A1: LSTM-7d only,0.9092,0.9923,0.9954,0.9879,0.9923,0.9923,0.9972
A1_7d,Biliran,A1: LSTM-7d only,0.6313,0.9769,0.9932,0.8236,0.9894,0.93,0.9945
A1_15d,EasternSamar,A1: LSTM-15d only,0.1497,0.9912,0.9938,0.9902,0.9951,0.976,0.9834
A1_15d,WesternSamar,A1: LSTM-15d only,0.7141,0.9868,0.9871,0.9731,0.9884,0.9803,0.9869
A1_15d,Leyte,A1: LSTM-15d only,0.9258,0.9923,0.9962,0.9917,0.9923,0.9923,0.9972
A1_15d,Biliran,A1: LSTM-15d only,0.6661,0.9769,0.9989,0.9863,0.9894,0.93,0.9945
A1_30d,EasternSamar,A1: LSTM-30d only,0.1176,0.991,0.9935,0.9921,0.9951,0.9749,0.9827
A1_30d,WesternSamar,A1: LSTM-30d only,0.7645,0.9868,0.989,0.982,0.9884,0.9803,0.9869
A1_30d,Leyte,A1: LSTM-30d only,0.9229,0.9923,0.9947,0.9885,0.9923,0.9923,0.9972
A1_30d,Biliran,A1: LSTM-30d only,0.7118,0.9769,0.9864,0.831,0.9894,0.93,0.9945
A2_no_xgb,EasternSamar,A2: LSTM×3 only (no XGB),0.1272,0.9854,0.9821,0.971,0.9878,0.9759,0.9792
A2_no_xgb,WesternSamar,A2: LSTM×3 only (no XGB),0.1615,0.9628,0.9766,0.9616,0.9701,0.9345,0.9592
